"Step","rl_config.agent: cql - delay/slice_0_delay_violation_rate","rl_config.agent: cql - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: cql - delay/slice_0_delay_violation_rate__MAX","rl_config.agent: equal - delay/slice_0_delay_violation_rate","rl_config.agent: equal - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: equal - delay/slice_0_delay_violation_rate__MAX","rl_config.agent: baseline - delay/slice_0_delay_violation_rate","rl_config.agent: baseline - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: baseline - delay/slice_0_delay_violation_rate__MAX","rl_config.agent: sac - delay/slice_0_delay_violation_rate","rl_config.agent: sac - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: sac - delay/slice_0_delay_violation_rate__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0.2975427350427351","0","3.1730769230769234","0.3181818181818182","0","3.3333333333333335","0","0","0","0.23088023088023085","0","3.03030303030303"
"2","1.779230479173918","0","15","2.0450174825174825","0","16.363636363636363","0.17094017094017094","0","3.58974358974359","1.364289305465776","0","15.480769230769232"
"3","3.217948717948718","0","20","3.2435897435897436","0","20","1.3206436420722134","0","12.5","2.3268794697366126","0","20"
"4","3.60809364548495","0","20","4.5264856129945645","0","21.56862745098039","2.2001908313182827","0","15.384615384615385","2.891697191697192","0","21.25"
"5","4.903172807584573","0","24.583333333333332","5.760897435897435","0","25.071428571428573","8.650793650793652","0","100","3.6309805482737816","0","24.230769230769234"
"6","4.8339740754601435","0","25","6.07315233785822","0","29.411764705882355","6.57724897285659","0","71.57161358215991","3.679419136075483","0","25"
"7","4.489071508201943","0","25","5.913518919273395","0","29.11764705882353","3.1054131054131053","0","16.666666666666668","3.45721536477839","0","25"
"8","4.606227106227106","0","25","5.5858974358974365","0","26.333333333333336","3.828710971568115","0","16.666666666666668","3.496013790131437","0","25"
"9","4.763450091575092","0","25","5.9873680241327305","0","30","3.9632263161674928","0","16.666666666666668","3.577040892830366","0","25"
