"Step","rl_config.agent: sac - delay/slice_1_delay_violation_rate","rl_config.agent: sac - delay/slice_1_delay_violation_rate__MIN","rl_config.agent: sac - delay/slice_1_delay_violation_rate__MAX","rl_config.agent: baseline - delay/slice_1_delay_violation_rate","rl_config.agent: baseline - delay/slice_1_delay_violation_rate__MIN","rl_config.agent: baseline - delay/slice_1_delay_violation_rate__MAX","rl_config.agent: cql - delay/slice_1_delay_violation_rate","rl_config.agent: cql - delay/slice_1_delay_violation_rate__MIN","rl_config.agent: cql - delay/slice_1_delay_violation_rate__MAX","rl_config.agent: baseline_delay - delay/slice_1_delay_violation_rate","rl_config.agent: baseline_delay - delay/slice_1_delay_violation_rate__MIN","rl_config.agent: baseline_delay - delay/slice_1_delay_violation_rate__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0.7347652347652347","0","4.230769230769231","0.08702408702408704","0","0.5128205128205129","0.5812474562474562","0","3.1196581196581197","0.6084193584193586","0","3.0769230769230775"
"2","6.10611893705271","0","23.865877712031555","2.994020499702317","0","12.055555555555554","5.05095332018409","0","22.05128205128205","3.441472376254985","0","16"
"3","8.801652892561982","0","30.76923076923077","4.687745966155057","0","17.142857142857142","6.588509529686","0","30.256410256410255","3.8128538128538128","0","20"
"4","10.2506050099633","0","31.0989010989011","8.400879423606696","0","26.666666666666668","6.889393286452109","0","30.76923076923077","3.427138142913123","0","20"
"5","12.872445736082101","0","40","11.00164986528623","0","30.76923076923077","8.645243645243644","0","36.19047619047619","6.9454156954156945","0","30.76923076923077"
"6","12.373680587584333","0","35.92592592592593","11.008864872501237","0","30.76923076923077","8.992448523698524","0","33.333333333333336","8.0734056450197","0","26.666666666666668"
"7","12.208089741512202","0","35.11111111111111","10.62741883316046","0","30.76923076923077","8.96487499428676","0","33.333333333333336","4.747876300064248","0","23.055555555555554"
"8","12.534633926679383","0","33.333333333333336","9.100756640863594","0","30.76923076923077","8.40560583207642","0","33.333333333333336","3.3333333333333335","0","20"
"9","13.001558264097447","0","33.333333333333336","9.524978388614754","0","30.76923076923077","8.922327672327674","0","33.333333333333336","6.3247863247863245","0","29.23076923076923"
"10","12.669704033340397","0","33.333333333333336","9.939841303477667","0","30.76923076923077","9.697940947940948","0","33.333333333333336","8.166555666555666","0","30.76923076923077"
"11","13.245223675845683","0","38.18181818181818","9.518965882602247","0","30.76923076923077","9.802107614607614","0","33.333333333333336","7.694692364455079","0","27.597402597402596"
