"Step","avg_reward","cql-nn-mixed-ver0 - eval_avg_reward__MIN","cql-nn-mixed-ver0 - eval_avg_reward__MAX"
"2005","6.665537612600498","6.665537612600498","6.665537612600498"
"4011","6.665537612600498","6.665537612600498","6.665537612600498"
"6017","8.776175633729599","8.776175633729599","8.776175633729599"
"8023","11.200939133735455","11.200939133735455","11.200939133735455"
"10029","11.159640906826311","11.159640906826311","11.159640906826311"
"12035","12.096162607312582","12.096162607312582","12.096162607312582"
"14041","11.203643166920154","11.203643166920154","11.203643166920154"
"16047","11.332759841933399","11.332759841933399","11.332759841933399"
"18053","11.585097369659255","11.585097369659255","11.585097369659255"
"20059","11.570513985152381","11.570513985152381","11.570513985152381"
