"Step","rl_config.agent: cql - delay/slice_0_delay_violation_rate","rl_config.agent: cql - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: cql - delay/slice_0_delay_violation_rate__MAX","rl_config.agent: sac - delay/slice_0_delay_violation_rate","rl_config.agent: sac - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: sac - delay/slice_0_delay_violation_rate__MAX","rl_config.agent: baseline - delay/slice_0_delay_violation_rate","rl_config.agent: baseline - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: baseline - delay/slice_0_delay_violation_rate__MAX"
"84","30","30","30","25","25","25","20","20","20"
"85","30","30","30","25","25","25","20","20","20"
"86","30","30","30","25","25","25","20","20","20"
"87","30","30","30","25","25","25","20","20","20"
"88","30","30","30","25","25","25","20","20","20"
"89","30","30","30","25","25","25","20","20","20"
"90","30","30","30","26","26","26","20","20","20"
"91","30","30","30","26.666666666666664","26.666666666666664","26.666666666666664","20","20","20"
"92","30","30","30","25","25","25","20","20","20"
"93","30","30","30","25","25","25","20","20","20"
"94","30","30","30","26.538461538461537","26.538461538461537","26.538461538461537","20","20","20"
"95","30","30","30","30","30","30","17.25","17.25","17.25"
"96","30","30","30","30","30","30","15.227272727272728","15.227272727272728","15.227272727272728"
"97","30","30","30","30","30","30","15","15","15"
"98","30","30","30","26.176470588235293","26.176470588235293","26.176470588235293","15","15","15"
"99","32.38095238095238","32.38095238095238","32.38095238095238","25","25","25","15","15","15"
"100","30","30","30","25","25","25","15","15","15"
"101","30","30","30","25","25","25","15","15","15"
"102","30","30","30","25","25","25","15","15","15"
"103","30","30","30","25","25","25","15","15","15"
"104","30","30","30","25","25","25","15","15","15"
"105","30","30","30","25","25","25","15","15","15"
"106","30","30","30","25","25","25","15","15","15"
"107","30","30","30","25","25","25","15","15","15"
"108","30","30","30","25","25","25","15","15","15"
"109","30","30","30","25.9375","25.9375","25.9375","15","15","15"
"110","30","30","30","28.75","28.75","28.75","15","15","15"
"111","30","30","30","30","30","30","15","15","15"
"112","30","30","30","30","30","30","15","15","15"
"113","30","30","30","30","30","30","15","15","15"
"114","30","30","30","30","30","30","15","15","15"
"115","30","30","30","30","30","30","15","15","15"
"116","30","30","30","30","30","30","15","15","15"
"117","30","30","30","30","30","30","15","15","15"
"118","30","30","30","30","30","30","15","15","15"
"119","30","30","30","30","30","30","15","15","15"
"120","30","30","30","30","30","30","15","15","15"
"121","30","30","30","30","30","30","15","15","15"
"122","30","30","30","30","30","30","14.761904761904763","14.761904761904763","14.761904761904763"
"123","30","30","30","30","30","30","11.5","11.5","11.5"
"124","30","30","30","30","30","30","10","10","10"
"125","30","30","30","30","30","30","10.882352941176471","10.882352941176471","10.882352941176471"
"126","30","30","30","30","30","30","10","10","10"
"127","30","30","30","30","30","30","10","10","10"
"128","30","30","30","30","30","30","10","10","10"
"129","30","30","30","30","30","30","10","10","10"
"130","30","30","30","30","30","30","10","10","10"
"131","30","30","30","30","30","30","10","10","10"
"132","30","30","30","30","30","30","10","10","10"
"133","30","30","30","30","30","30","10","10","10"
"134","30","30","30","30","30","30","10","10","10"
"135","30","30","30","30","30","30","10","10","10"
"136","30","30","30","30","30","30","10","10","10"
"137","30","30","30","30","30","30","10","10","10"
"138","30","30","30","30","30","30","10","10","10"
"139","30","30","30","30","30","30","10","10","10"
"140","30","30","30","30","30","30","10","10","10"
"141","30","30","30","30","30","30","10","10","10"
"142","30","30","30","30","30","30","10","10","10"
"143","30","30","30","30","30","30","10","10","10"
"144","30","30","30","30","30","30","10","10","10"
"145","30","30","30","30","30","30","10","10","10"
"146","30","30","30","30","30","30","10","10","10"
"147","30","30","30","30","30","30","10","10","10"
"148","30","30","30","30","30","30","10","10","10"
"149","30","30","30","30","30","30","10","10","10"
"150","30","30","30","30","30","30","10","10","10"
"151","30","30","30","30","30","30","11.538461538461538","11.538461538461538","11.538461538461538"
"152","30","30","30","30","30","30","15.681818181818182","15.681818181818182","15.681818181818182"
"153","30","30","30","30","30","30","14.11764705882353","14.11764705882353","14.11764705882353"
"154","30","30","30","30","30","30","10","10","10"
"155","30","30","30","30","30","30","10","10","10"
"156","30","30","30","30","30","30","10","10","10"
"157","30","30","30","30","30","30","10","10","10"
"158","30","30","30","30","30","30","10.833333333333332","10.833333333333332","10.833333333333332"
"159","30","30","30","30","30","30","13.125","13.125","13.125"
"160","30","30","30","30","30","30","14.545454545454543","14.545454545454543","14.545454545454543"
"161","30","30","30","30","30","30","12.058823529411764","12.058823529411764","12.058823529411764"
"162","30","30","30","30","30","30","13.461538461538462","13.461538461538462","13.461538461538462"
"163","30","30","30","30","30","30","15","15","15"
"164","30","30","30","30","30","30","15","15","15"
"165","30","30","30","30","30","30","16.05263157894737","16.05263157894737","16.05263157894737"
"166","30","30","30","30","30","30","17.894736842105264","17.894736842105264","17.894736842105264"
"167","30","30","30","30","30","30","15.90909090909091","15.90909090909091","15.90909090909091"
"168","30","30","30","30","30","30","15","15","15"
"169","29.347826086956523","29.347826086956523","29.347826086956523","30","30","30","15","15","15"
"170","30","30","30","30","30","30","17.25","17.25","17.25"
"171","30","30","30","30","30","30","15","15","15"
"172","30","30","30","30","30","30","15","15","15"
"173","30","30","30","30","30","30","15","15","15"
"174","30","30","30","30","30","30","15","15","15"
"175","30","30","30","30","30","30","15","15","15"
"176","30","30","30","30","30","30","15","15","15"
"177","30","30","30","30","30","30","15","15","15"
"178","28.22222222222222","28.22222222222222","28.22222222222222","30","30","30","15","15","15"
"179","25","25","25","30","30","30","15","15","15"
"180","25","25","25","30","30","30","15","15","15"
"181","25","25","25","30","30","30","15","15","15"
"182","25","25","25","30","30","30","13.25","13.25","13.25"
"183","25","25","25","30","30","30","10","10","10"
"184","25","25","25","30","30","30","10","10","10"
"185","25","25","25","30","30","30","10","10","10"
"186","25","25","25","30","30","30","11.11111111111111","11.11111111111111","11.11111111111111"
"187","25","25","25","30","30","30","10","10","10"
"188","25","25","25","30","30","30","10","10","10"
"189","25","25","25","30","30","30","10","10","10"
"190","25","25","25","30","30","30","10","10","10"
"191","29","29","29","30","30","30","14.375","14.375","14.375"
"192","30","30","30","30","30","30","15.294117647058822","15.294117647058822","15.294117647058822"
"193","30","30","30","30","30","30","15.476190476190476","15.476190476190476","15.476190476190476"
"194","27.758620689655174","27.758620689655174","27.758620689655174","30","30","30","18.055555555555554","18.055555555555554","18.055555555555554"
"195","25.357142857142854","25.357142857142854","25.357142857142854","30","30","30","20","20","20"
"196","26.333333333333336","26.333333333333336","26.333333333333336","30","30","30","20","20","20"
"197","27.8125","27.8125","27.8125","30","30","30","20","20","20"
"198","27.5","27.5","27.5","30","30","30","20","20","20"
