"Step","rl_config.agent: cql - delay/slice_0_delay_violation_rate","rl_config.agent: cql - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: cql - delay/slice_0_delay_violation_rate__MAX","rl_config.agent: sac - delay/slice_0_delay_violation_rate","rl_config.agent: sac - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: sac - delay/slice_0_delay_violation_rate__MAX","rl_config.agent: baseline - delay/slice_0_delay_violation_rate","rl_config.agent: baseline - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: baseline - delay/slice_0_delay_violation_rate__MAX"
"0","0","0","0","0","0","0","0","0","0"
"1","0.7142857142857142","0.7142857142857142","0.7142857142857142","0.7692307692307693","0.7692307692307693","0.7692307692307693","0","0","0"
"2","13.333333333333332","13.333333333333332","13.333333333333332","12.980769230769232","12.980769230769232","12.980769230769232","0","0","0"
"3","17.564102564102562","17.564102564102562","17.564102564102562","17.69230769230769","17.69230769230769","17.69230769230769","0.7894736842105263","0.7894736842105263","0.7894736842105263"
"4","20","20","20","20","20","20","1.25","1.25","1.25"
"5","23.928571428571427","23.928571428571427","23.928571428571427","23.846153846153847","23.846153846153847","23.846153846153847","9.333333333333332","9.333333333333332","9.333333333333332"
"6","25","25","25","25","25","25","10","10","10"
"7","25","25","25","21.875","21.875","21.875","10","10","10"
"8","25","25","25","20","20","20","6.176470588235294","6.176470588235294","6.176470588235294"
"9","25","25","25","20","20","20","7.222222222222223","7.222222222222223","7.222222222222223"
"10","25","25","25","20","20","20","5","5","5"
"11","25","25","25","20","20","20","9.411764705882353","9.411764705882353","9.411764705882353"
"12","25","25","25","20","20","20","6.604166666666667","6.604166666666667","6.604166666666667"
"13","25","25","25","20","20","20","9.210526315789474","9.210526315789474","9.210526315789474"
"14","25","25","25","20","20","20","7.647058823529411","7.647058823529411","7.647058823529411"
"15","25","25","25","20","20","20","10","10","10"
"16","25","25","25","20","20","20","10","10","10"
"17","25","25","25","20","20","20","10","10","10"
"18","25","25","25","20","20","20","10","10","10"
"19","25","25","25","20","20","20","10","10","10"
"20","25","25","25","20","20","20","7.5","7.5","7.5"
"21","25","25","25","20","20","20","10","10","10"
"22","25","25","25","20","20","20","10","10","10"
"23","25","25","25","20","20","20","8.666666666666666","8.666666666666666","8.666666666666666"
"24","25","25","25","23.839285714285715","23.839285714285715","23.839285714285715","10","10","10"
"25","25.3125","25.3125","25.3125","28","28","28","10","10","10"
"26","25","25","25","25.555555555555554","25.555555555555554","25.555555555555554","10","10","10"
"27","25","25","25","25","25","25","10","10","10"
"28","25","25","25","25","25","25","10","10","10"
"29","25","25","25","25","25","25","11.11111111111111","11.11111111111111","11.11111111111111"
"30","25","25","25","25","25","25","11.31578947368421","11.31578947368421","11.31578947368421"
"31","25","25","25","25","25","25","12.631578947368421","12.631578947368421","12.631578947368421"
"32","25","25","25","25","25","25","15","15","15"
"33","25","25","25","25","25","25","15","15","15"
"34","25","25","25","25","25","25","14.6875","14.6875","14.6875"
"35","25","25","25","25","25","25","15","15","15"
"36","25","25","25","25","25","25","11.666666666666666","11.666666666666666","11.666666666666666"
"37","25","25","25","25","25","25","10","10","10"
"38","25","25","25","25","25","25","10","10","10"
"39","25","25","25","25","25","25","10","10","10"
"40","25","25","25","25","25","25","10","10","10"
"41","25","25","25","25","25","25","10","10","10"
"42","25","25","25","25","25","25","10","10","10"
"43","25","25","25","25","25","25","10","10","10"
"44","25","25","25","25","25","25","10","10","10"
"45","25","25","25","25","25","25","13.235294117647058","13.235294117647058","13.235294117647058"
"46","25","25","25","25","25","25","15","15","15"
"47","25","25","25","25","25","25","15","15","15"
"48","26.333333333333336","26.333333333333336","26.333333333333336","25","25","25","15","15","15"
"49","30","30","30","25","25","25","15","15","15"
"50","26.57894736842105","26.57894736842105","26.57894736842105","25","25","25","15","15","15"
"51","25","25","25","25","25","25","15","15","15"
"52","25","25","25","25","25","25","15","15","15"
"53","25","25","25","25","25","25","15","15","15"
"54","25","25","25","25","25","25","15","15","15"
"55","25","25","25","25","25","25","15","15","15"
"56","25","25","25","25","25","25","15.9375","15.9375","15.9375"
"57","25","25","25","28.23529411764706","28.23529411764706","28.23529411764706","17.5","17.5","17.5"
"58","25","25","25","30","30","30","18.684210526315788","18.684210526315788","18.684210526315788"
"59","25","25","25","30","30","30","20","20","20"
"60","25","25","25","33","33","33","20","20","20"
"61","25.97222222222222","25.97222222222222","25.97222222222222","33.92414860681115","33.92414860681115","33.92414860681115","20","20","20"
"62","25","25","25","30.675675675675677","30.675675675675677","30.675675675675677","20","20","20"
"63","25","25","25","30","30","30","20","20","20"
"64","25","25","25","30","30","30","20","20","20"
"65","25","25","25","25.909090909090914","25.909090909090914","25.909090909090914","20","20","20"
"66","25","25","25","25","25","25","20","20","20"
"67","25","25","25","25","25","25","20","20","20"
"68","25","25","25","25","25","25","20","20","20"
"69","25","25","25","25","25","25","20","20","20"
"70","25","25","25","25","25","25","20","20","20"
"71","25","25","25","25","25","25","20","20","20"
"72","25","25","25","25","25","25","20","20","20"
"73","25","25","25","25","25","25","20","20","20"
"74","25","25","25","25","25","25","20","20","20"
"75","25","25","25","25","25","25","20","20","20"
"76","25.333333333333336","25.333333333333336","25.333333333333336","25","25","25","20","20","20"
"77","30","30","30","25","25","25","20","20","20"
"78","30","30","30","25","25","25","20","20","20"
"79","28.636363636363637","28.636363636363637","28.636363636363637","25","25","25","20","20","20"
"80","29.545454545454543","29.545454545454543","29.545454545454543","25","25","25","20","20","20"
"81","30","30","30","25","25","25","20","20","20"
"82","30","30","30","25","25","25","20","20","20"
"83","30","30","30","25","25","25","20","20","20"
