"Step","rl_config.agent: sac - delay/slice_1_delay_violation_rate","rl_config.agent: sac - delay/slice_1_delay_violation_rate__MIN","rl_config.agent: sac - delay/slice_1_delay_violation_rate__MAX","rl_config.agent: cql - delay/slice_1_delay_violation_rate","rl_config.agent: cql - delay/slice_1_delay_violation_rate__MIN","rl_config.agent: cql - delay/slice_1_delay_violation_rate__MAX","rl_config.agent: baseline - delay/slice_1_delay_violation_rate","rl_config.agent: baseline - delay/slice_1_delay_violation_rate__MIN","rl_config.agent: baseline - delay/slice_1_delay_violation_rate__MAX"
"0","0","0","0","0","0","0","0","0","0"
"1","0.298035298035298","0","3.03030303030303","0.2002164502164502","0","2.5757575757575757","0.047863247863247874","0","0.5128205128205129"
"2","2.8704122674710915","0","21.02564102564103","3.0635683760683756","0","20.68376068376068","1.6467112748362744","0","12.055555555555554"
"3","4.402416123894453","0","26.190476190476193","4.788888888888889","0","27.692307692307693","3.9360552641802635","0","17.142857142857142"
"4","4.914530094088918","0","26.666666666666668","5.768315018315019","0","30.76923076923077","6.523811514572384","0","26.666666666666668"
"5","6.199252136752137","0","30.76923076923077","6.493482242395285","0","33.904761904761905","6.8766650016650015","0","30.76923076923077"
"6","6.037531182268024","0","31.48148148148148","6.153044871794871","0","33.333333333333336","6.686055903161166","0","30.76923076923077"
"7","6.116599097741339","0","30.76923076923077","6.205128205128205","0","33.333333333333336","6.428413691571587","0","30.76923076923077"
"8","6.320135746606335","0","30.76923076923077","6.504964806435394","0","33.333333333333336","5.964319091641074","0","30.76923076923077"
"9","6.244568151147098","0","30.76923076923077","6.573919413919413","0","33.333333333333336","7.371660746660747","0","30.76923076923077"
"10","6.193910256410256","0","32.083333333333336","6.711199457593688","0","33.333333333333336","6.658486331470203","0","30.76923076923077"
"11","6.103379953379953","0","30.76923076923077","6.894466936572199","0","33.333333333333336","6.402097902097902","0","30.76923076923077"
"12","6.534188034188034","0","30.76923076923077","7.026018099547511","0","33.72549019607843","6.402097902097902","0","30.76923076923077"
"13","6.6387631975867265","0","30.980392156862745","7.5286324786324785","0","37.77777777777778","6.731643356643358","0","30.76923076923077"
"14","7.061234817813764","0","36.03238866396761","7.956666666666666","0","40","8.272279354632296","0","36.36363636363637"
"15","7.084255510571299","0","36.43724696356275","8.268721719457014","0","40","7.317381363046998","0","36.75213675213675"
"16","7.210069444444445","0","39.166666666666664","8.198640218570558","0","40","7.122331615752668","0","36.36363636363637"
"17","6.917948717948718","0","37.333333333333336","8.092998332936414","0","40","7.626527720645366","0","36.36363636363637"
"18","6.853937728937728","0","33.333333333333336","8.16685520361991","0","40","8.096034521034522","0","36.36363636363637"
"19","6.8865007541478125","0","33.333333333333336","8.193028846153847","0","40","8.136500754147812","0","35.294117647058826"
"20","6.996794871794871","0","33.333333333333336","8.861796098638203","0","40","8.189976689976689","0","36.36363636363637"
"21","7.526655982905983","0","33.333333333333336","8.970403171390014","0","40","7.962703962703962","0","31.818181818181817"
"22","6.85","0","33.333333333333336","8.409431181844976","0","40","6.971542346542347","0","30.76923076923077"
"23","7.2172739541160595","0","33.333333333333336","8.127964462438147","0","39.166666666666664","6.9020979020979025","0","30.76923076923077"
"24","7.256410256410257","0","33.333333333333336","7.700576923076923","0","40","7.049156725627315","0","30.76923076923077"
"25","7.233100233100234","0","33.333333333333336","7.644823021181717","0","40","7.335431235431235","0","30.76923076923077"
"26","6.913461538461538","0","34.166666666666664","7.835610661268556","0","40","6.9020979020979025","0","30.76923076923077"
"27","7.116239316239316","0","38.222222222222214","7.89957264957265","0","40","6.888209013209012","0","30.76923076923077"
"28","7.107211538461539","0","38.666666666666664","7.788461538461538","0","40","6.759240759240759","0","30.76923076923077"
"29","7.246025641025642","0","40","7.748987854251013","0","40","6.6520979020979025","0","30.76923076923077"
"30","6.955128205128204","0","40","7.716239316239317","0","40","6.696542346542347","0","30.76923076923077"
"31","7.083333333333334","0","40","7.7644230769230775","0","40","6.969227531727531","0","32.083333333333336"
"32","7.608443478606017","0","40","8.300503477628983","0","40","7.235431235431236","0","33.333333333333336"
"33","7.618463945829674","0","40","8.454380341880341","0","40","8.368469493469494","0","34.166666666666664"
"34","7.460006598793363","0","40","9.032051282051281","0","40","9.023310023310023","0","38.46153846153846"
"35","8.0508547008547","0","40","9.160705307764132","0","40","9.915501165501166","0","40"
"36","8.118125843454791","0","40","9.177462887989202","0","40","9.868999969328916","0","40"
"37","7.944444444444445","0","40","8.994257478632477","0","40","9.610823958650046","0","40"
"38","8.338346482577252","0","40","9.21491498697381","0","40","10.02913752913753","0","40"
"39","8.941025641025641","0","40","9.582997557997558","0","40","10.78120409002762","0","40"
