"Step","avg_reward","cql-nn-mixed-ver0 - eval_avg_reward__MIN","cql-nn-mixed-ver0 - eval_avg_reward__MAX"
"2005","6.665537612600498","6.665537612600498","6.665537612600498"
"4011","9.598931825263051","9.598931825263051","9.598931825263051"
"6017","10.311606783232566","10.311606783232566","10.311606783232566"
"8023","10.234521218360223","10.234521218360223","10.234521218360223"
"10029","10.223487532844356","10.223487532844356","10.223487532844356"
"12035","10.174806178840948","10.174806178840948","10.174806178840948"
"14041","10.169737541977119","10.169737541977119","10.169737541977119"
"16047","10.249769660533389","10.249769660533389","10.249769660533389"
"18053","10.180120528220904","10.180120528220904","10.180120528220904"
"20059","10.144640980015598","10.144640980015598","10.144640980015598"
