"Step","rl_config.agent: sac - delay/slice_0_delay_violation_rate","rl_config.agent: sac - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: sac - delay/slice_0_delay_violation_rate__MAX","rl_config.agent: baseline - delay/slice_0_delay_violation_rate","rl_config.agent: baseline - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: baseline - delay/slice_0_delay_violation_rate__MAX","rl_config.agent: cql - delay/slice_0_delay_violation_rate","rl_config.agent: cql - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: cql - delay/slice_0_delay_violation_rate__MAX","rl_config.agent: baseline_delay - delay/slice_0_delay_violation_rate","rl_config.agent: baseline_delay - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: baseline_delay - delay/slice_0_delay_violation_rate__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0.10489510489510488","0","1.1538461538461537","0","0","0","0.18353174603174605","0","1.7857142857142858","0.5303030303030303","0","3.3333333333333335"
"2","1.2662337662337662","0","13.928571428571427","0.32634032634032634","0","3.58974358974359","1.452991452991453","0","13.846153846153845","1.5185185185185184","0","14.333333333333334"
"3","1.7832167832167833","0","19.615384615384617","2.0454545454545454","0","12.5","2.301587301587302","0","18.571428571428573","4.190795315795316","0","20"
"4","2.1414141414141414","0","20","2.4741275880981766","0","15.384615384615385","2.7380952380952386","0","20","5.923536617811092","0","20.32174556213018"
"5","3.31002331002331","0","23.076923076923077","5.244755244755245","0","20","3.015873015873016","0","22.857142857142854","5.128315490157596","0","21.428571428571427"
"6","3.2349813928761297","0","24.473684210526315","4.243529088730327","0","17.352941176470587","3.0787037037037037","0","23.61111111111111","5.366610124817195","0","22.75"
"7","2.9223817118553956","0","22.36842105263158","3.888888888888889","0","16.666666666666668","2.777777777777778","0","20","10.022983031057194","0","62.065741276267595"
"8","2.793560606060606","0","24.0625","5","0","16.666666666666668","2.777777777777778","0","20","8.145026636068598","0","34.83599126337853"
"9","2.942583732057416","0","25","5.053475935828877","0","16.666666666666668","2.855902777777778","0","20.9375","5.774471434997751","0","30.933333333333334"
"10","3.484848484848485","0","25","5.3076923076923075","0","19.666666666666664","2.986111111111111","0","22.5","5.231678546895939","0","20"
"11","3.431372549019608","0","24.411764705882355","5.454545454545454","0","20","2.777777777777778","0","20","5.222740222740223","0","22.672882672882672"
"12","3.484848484848485","0","25","5.454545454545454","0","20","2.972222222222222","0","22.333333333333332","15.2876437288202","0","93.04812834224599"
"13","3.484848484848485","0","25","5.54367201426025","0","20","3.0718954248366015","0","23.529411764705884","11.967033985532042","0","59.55390729233514"
"14","3.484848484848485","0","25","6.7304625199362045","0","30.701754385964914","2.777777777777778","0","20","6.1246011042432675","0","20"
"15","3.484848484848485","0","25","6.96969696969697","0","33.333333333333336","2.777777777777778","0","20","5.004752192252193","0","20"
"16","3.6363636363636362","0","25","6.96969696969697","0","33.333333333333336","2.855902777777778","0","20.9375","8.7672676194348","0","57.50132908027644"
"17","3.912655971479501","0","25","6.96969696969697","0","33.333333333333336","2.956349206349207","0","22.142857142857146","14.309698335433628","0","88.57905982905983"
"18","3.984848484848485","0","24.666666666666664","6.96969696969697","0","33.333333333333336","2.998366013071896","0","20","9.09319093615766","0","60.56526445978779"
"19","4.3939393939393945","0","25","7.373737373737374","0","33.333333333333336","3.2787698412698414","0","20","5.354217854217854","0","32.432432432432435"
"20","4.420677361853833","0","25.294117647058822","7.0562770562770565","0","33.333333333333336","3.611111111111111","0","20","8.521207087490632","0","28.055555555555554"
"21","5.262626262626263","0","25","8.116274322825126","0","34.09090909090909","4.523307467386415","0","20","8.137782948758558","0","22.258789990497306"
"22","5.897537245363332","0","25","9.927950837041747","0","42.42424242424242","5.158569500674764","0","20","8.50923337765443","0","27.272727272727273"
"23","6.070707070707072","0","25","9.124722444880549","0","50","4.485570505486124","0","20","8.272560772560773","0","27.97202797202797"
"24","5.5993265993265995","0","26.388888888888893","8.484848484848486","0","50","3.7500000000000004","0","20","8.18543956043956","0","27.65151515151515"
"25","5.674242424242425","0","27.75","8.484848484848486","0","50","3.716931216931217","0","20.714285714285715","7.648685001626178","0","27.96137619667031"
"26","6.253443526170799","0","25","8.571428571428571","0","50","4.705774853801169","0","23.75","17.39856780909182","0","85.21613190730838"
"27","5.692640692640693","0","25","8.73015873015873","0","46.03174603174603","4.38503336940837","0","24.6875","11.0032037556322","0","53.96210264883316"
"28","5.295815295815296","0","25","7.683342298726914","0","33.333333333333336","4.332837301587301","0","24.375","8.287358937358936","0","28.444444444444443"
"29","5.274021394564688","0","25","8.451729266208904","0","38.23529411764706","4.260752688172043","0","25","9.974580464235636","0","44.921072796934865"
"30","5","0","25","7.575757575757577","0","33.333333333333336","4.409722222222222","0","25","11.395802203494512","0","33.55555555555556"
"31","5.409982174688057","0","26.176470588235293","7.925407925407925","0","33.333333333333336","4.808080808080809","0","25","14.290770957437623","0","36.15384615384615"
"32","6.024955436720142","0","27.941176470588232","8.611099684629098","0","33.333333333333336","5.138888888888888","0","25","13.801163080307463","0","32.8054298642534"
"33","5.709035434435892","0","25.263157894736842","8.62707467970626","0","33.333333333333336","5.112433862433862","0","25","14.84022209843429","0","58.55131796308267"
"34","5.6060606060606055","0","25","8.05744948484703","0","33.333333333333336","4.7601010101010095","0","25","11.435180486904626","0","39.4214980421877"
"35","5.636363636363637","0","25.333333333333336","8.615967365967366","0","33.333333333333336","5.138888888888888","0","25","13.828624032243942","0","71.85868430212322"
"36","5.6060606060606055","0","25","8.881118881118882","0","33.333333333333336","5.138888888888888","0","25","20.56122055298019","0","85.56818181818181"
"37","5.6060606060606055","0","25","8.549293843411492","0","33.333333333333336","5.138888888888888","0","25","23.33347306720839","0","79.4949494949495"
"38","5.716287878787878","0","25","7.925407925407925","0","33.333333333333336","4.638634630053395","0","25","13.71544195419388","0","46.89691688857429"
"39","5.369318181818182","0","25","7.569046021058406","0","33.333333333333336","4.122023809523809","0","25","10.222273641391288","0","32.86713286713287"
"40","6.431381118881119","0","25","7.992252845194022","0","35.833333333333336","3.9766081871345027","0","25","11.422451746970978","0","31.623376623376622"
"41","7.317290552584671","0","28.823529411764707","8.364184834773072","0","33.333333333333336","4.472988025619604","0","25","18.96527014353413","0","68.09269162210337"
"42","7.151515151515152","0","27","7.639246718194087","0","33.333333333333336","3.6538461538461537","0","25","21.347573385898784","0","85.38927919345876"
"43","6.875","0","25","7.575757575757577","0","33.333333333333336","3.7091503267973853","0","25","14.456735557677765","0","62.02973497091144"
"44","6.535812672176308","0","25","7.575757575757577","0","33.333333333333336","4.423076923076923","0","25","10.573873557744527","0","41.19106699751861"
"45","6.646464646464647","0","25","8.707680465701857","0","33.333333333333336","4.611111111111112","0","25","19.472208926255973","0","86.007326007326"
"46","6.802232854864434","0","25","9.05705140154901","0","33.333333333333336","4.66374269005848","0","25","19.831264316509536","0","71.2815611310235"
"47","6.590909090909091","0","25","9.489195568741025","0","33.333333333333336","4.393004115226337","0","25","16.609920987692607","0","46.42857142857143"
"48","6.515151515151516","0","25","9.525746980292437","0","33.333333333333336","4.41919191919192","0","25","12.614747725041843","0","37.2960372960373"
"49","7.043169249051601","0","25","9.6273512583673","0","33.333333333333336","4.242577597840756","0","25","10.020612103945437","0","42.222222222222214"
"50","7.060606060606061","0","25","9.556050010595465","0","33.333333333333336","4.395502645502646","0","25","11.507314102312336","0","38.073524213503"
"51","7.560717468805705","0","25","8.943867580231217","0","33.333333333333336","5.039351851851852","0","25","20.306431108888336","0","100"
"52","8.164983164983164","0","31.481481481481477","8.482791718085837","0","33.333333333333336","4.8347088030059036","0","25","18.384679481738303","0","92.40465416936004"
"53","8.03030303030303","0","30","8.030303030303031","0","33.333333333333336","4.2094017094017095","0","25","15.983352351690362","0","52.11959211959212"
"54","7.165678524374176","0","25","8.076923076923077","0","33.333333333333336","4.166666666666667","0","25","13.375233191664515","0","42.333333333333336"
"55","6.515151515151516","0","25","8.682983682983684","0","33.333333333333336","4.166666666666667","0","25","10.440645213372486","0","33.91941391941392"
"56","7.1645021645021645","0","25","9.382426842319889","0","33.333333333333336","4.166666666666667","0","25","9.742633686818746","0","32.61904761904762"
"57","7.426573426573427","0","27.333333333333332","9.571791844519117","0","33.333333333333336","4.191321499013807","0","25","6.489248405915073","0","41.35531135531135"
"58","7.210081585081586","0","30","8.920991289412342","0","33.333333333333336","4.166666666666667","0","25","16.80755252977475","0","97.12121212121211"
"59","6.924242424242425","0","29.5","8.72960372960373","0","33.333333333333336","4.166666666666667","0","25","16.2512086672002","0","63.08982683982685"
"60","6.622286942653076","0","30.52631578947368","9.045489863671683","0","33.333333333333336","4.166666666666667","0","25","16.020094246838433","0","53.84615384615385"
"61","7.427738927738929","0","34.75","10.128440582986038","0","33.333333333333336","4.204374057315234","0","25","13.663245029378558","0","40"
"62","7.66899766899767","0","35","9.892750347295804","0","33.333333333333336","4.8076923076923075","0","25","11.21325077879199","0","40"
"63","6.9343141706778075","0","26.71428571428571","9.367803913258458","0","33.333333333333336","4.355203619909502","0","25","10.35354937821344","0","36.19047619047619"
"64","6.683871683871684","0","29.038461538461537","9.378954378954381","0","33.333333333333336","4.166666666666667","0","25","9.282467055080819","0","36.36363636363637"
"65","6.060606060606061","0","25","9.556050010595465","0","33.333333333333336","4.166666666666667","0","25","13.434343434343434","0","40.38461538461539"
"66","6.060606060606061","0","25","9.091173977537615","0","33.333333333333336","4.166666666666667","0","25","14.425668775225766","0","40.90909090909091"
"67","6.090909090909091","0","25","9.127522309340492","0","33.333333333333336","4.040404040404041","0","25","12.329672642172644","0","32.417582417582416"
"68","6.060606060606061","0","25","8.72960372960373","0","33.333333333333336","3.611111111111111","0","25","12.385193154423924","0","41.88034188034188"
"69","6.060606060606061","0","25","8.72960372960373","0","33.333333333333336","3.611111111111111","0","25","10.459055922291217","0","34.78345184227537"
"70","6.060606060606061","0","25","8.72960372960373","0","33.333333333333336","3.611111111111111","0","25","16.302372736196265","0","84.22459893048129"
