"Step","rl_config.agent: sac - delay/slice_0_delay_violation_rate","rl_config.agent: sac - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: sac - delay/slice_0_delay_violation_rate__MAX","rl_config.agent: cql - delay/slice_0_delay_violation_rate","rl_config.agent: cql - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: cql - delay/slice_0_delay_violation_rate__MAX","rl_config.agent: baseline - delay/slice_0_delay_violation_rate","rl_config.agent: baseline - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: baseline - delay/slice_0_delay_violation_rate__MAX"
"0","0","0","0","0","0","0","0","0","0"
"1","0.3125","0","3.1730769230769234","0.2975427350427351","0","3.1730769230769234","0","0","0"
"2","1.5442461949814892","0","14.583333333333334","1.779230479173918","0","15","0.1794871794871795","0","3.58974358974359"
"3","2.686813186813187","0","20","3.217948717948718","0","20","1.3866758241758241","0","12.5"
"4","3.3380138380138376","0","20","3.60809364548495","0","20","2.310200372884197","0","15.384615384615385"
"5","4.361412380404254","0","23.846153846153847","4.903172807584573","0","24.583333333333332","4.083333333333334","0","20"
"6","4.090672612411743","0","25","4.8339740754601435","0","25","3.3275307423914233","0","17.352941176470587"
"7","3.738733985537055","0","25","4.489071508201943","0","25","3.2606837606837606","0","16.666666666666668"
"8","4.150022492127755","0","25","4.606227106227106","0","25","4.02014652014652","0","16.666666666666668"
"9","4.064439946018894","0","25","4.763450091575092","0","25","4.161387631975868","0","16.666666666666668"
"10","4.344990389727231","0","25","5.101628505653274","0","25","4.36941391941392","0","19.666666666666664"
"11","4.841986187187426","0","25","5.236467236467236","0","26.111111111111114","4.993610190978612","0","20"
"12","4.618528401423139","0","25","5.2655677655677655","0","25","4.828368526897938","0","20"
"13","4.599527665317139","0","25","5.294668294668295","0","25","5.376721351905176","0","20"
"14","4.764957264957266","0","25","5.402159244264507","0","25","6.237271646482173","0","30.701754385964914"
"15","4.404615384615385","0","25","5.384615384615385","0","25","6.1362102809471235","0","33.333333333333336"
"16","4.792338217338218","0","25","5.3627403846153845","0","25","5.895344851227205","0","33.333333333333336"
"17","5.138658216783217","0","25","5.3257918552036205","0","25","5.730861244019139","0","33.333333333333336"
"18","4.866096866096866","0","25","5.384615384615385","0","25","5.539160839160839","0","33.333333333333336"
"19","4.668026418026417","0","25","5.259577677224735","0","25","5.519716394716395","0","33.333333333333336"
"20","4.753036437246964","0","25","5.957532051282051","0","25","5.303446553446554","0","33.333333333333336"
